Region,Pais,BCG,DTP1,DTP3,Polio3,MCV1,MCV2 (F),HepB3,Hib3,Rota,PCV3,PAB,Neumonía,Diarrea,Malaria Care,Malaria Sleeping,Malaria Households,mortality
,United Republic of Tanzania,87,88,86,65,84,67,86,86,82,80,91,55,45,75,55,78,50
América del Norte,United States,,97,93,92,91,95,91,90,75,82,,,,,,,6
América del Sur,Uruguay,99,98,92,91,95,91,92,92,,94,,91,,,,,7
,Uzbekistan,99,96,95,97,99,99,95,95,90,93,,68,28,,,,17
,Vanuatu,77,84,78,76,78,,78,78,,,78,72,48,57,51,83,26
América del Sur,Venezuela (Bolivarian Republic of),82,73,54,62,76,28,54,54,,,67,72,38,,,,24
,Viet Nam,95,96,94,80,97,93,94,94,,,96,81,51,,9,10,20
,Yemen,71,83,72,66,68,46,72,72,73,72,70,34,25,33,,,58
,Zambia,85,88,84,83,96,66,84,84,87,85,85,75,67,77,52,78,62
,Zimbabwe,88,93,86,86,85,74,86,86,88,86,87,48,33,50,15,37,55
